,Restaurant_id,Name,Locality,Address,City,Latitude,Longitude,Zip Code,Cuisines,Price Range,Average Cost for two,User Rating,Rating Text,Votes,all_reviews_count
0,16604448,Rubens Hepburn,Hepburn Springs,"70 Main Road,, Hepburn Springs",Hepburn Springs,-37.3168790000,144.1380570000,3461,"Mediterranean, Pizza, Seafood",3,30,4.9,Excellent,341,180
1,16608092,Nino's - Victor Harbor,Victor Harbor,"17 Albert Pl, Victor Harbor",Victor Harbor,-35.5556980000,138.6228330000,5211,"Italian, Pizza",2,20,4.9,Excellent,110,66
2,16605036,Saffs,Castlemaine,"64 Mostyn St, Castlemaine",Castlemaine,-37.0660799000,144.2199692000,3450,"Breakfast, Coffee and Tea, Modern Australian",1,7,4.9,Excellent,113,51
3,16605070,Port Campbell Hotel,Port Campbell,"40 Lord St, Port Campbell",Port Campbell,-38.6192670000,142.9960480000,3269,"Bar Food, Modern Australian",2,20,4.9,Excellent,63,37
4,16609632,Muse Restaurant and Cafe,Pokolbin,"1 Broke Rd, Pokolbin",Pokolbin,-32.7732660000,151.3118130000,2320,Modern Australian,4,25000017,4.9,Excellent,177,84
5,201897,Zuma,DIFC,"Podium Level, Gate Village 6, Sheikh Zayed Road, DIFC, Dubai",Dubai,25.2139531817,55.2836128324,0,"Japanese, Sushi, Salad",4,610,4.9,Excellent,1924,829
6,16604543,Anglesea Pizza & Pasta,Anglesea,"1/63 Great Ocean Rd, Anglesea",Anglesea,-38.4047810000,144.1913450000,3230,"Italian, Pizza",1,7,4.9,Excellent,60,26
7,16609867,Famous Berry Donut Van,Berry,"73 Queen St, Berry",Berry,-34.7749810000,150.6948920000,2535,Desserts,1,7,4.9,Excellent,144,79
8,19257791,Gasto,Nişantaşı,"Teşvikiye Mahallesi, Şakayık Sokak, No:2/A, Nişantaşı, İstanbul",İstanbul,41.0491708952,28.9961231500,,Turkish,4,140,4.9,Excellent,410,304
9,18243565,Ahdoo's,Lal Chowk,"Lal Chowk Market, Residency Road, Srinagar",Srinagar,34.0723700762,74.8190141469,,"South Indian, North Indian, Kashmiri",2,700,4.9,Excellent,180,55
10,16606229,Otway NouriShed,Ferguson,"3810 Colac-Lavers Hill Rd, Ferguson",Ferguson,-38.6293250000,143.5238820000,03237,"Coffee and Tea, Sandwich",1,7,4.9,Excellent,54,24
11,16606021,Stockpot,Tawonga South,"231 Kiewa Valley Hwy, Tawonga South",Tawonga South,-36.7377750000,147.1604390000,03698,"Pizza, Tapas, Modern Australian",2,20,4.9,Excellent,42,15
12,16605794,Funkey Monkey,Lakes Entrance,"26 Myer street, Lakes Entrance",Lakes Entrance,-37.8783865000,147.9942247000,3909,"Breakfast, Coffee and Tea",1,7,4.9,Excellent,109,60
13,16604360,The Stanley Pub,Stanley,"6-12 Myrtleford-Stanley Rd, Stanley, Stanley",Stanley,-36.4049360000,146.7536670000,3747,Australian,4,90,4.9,Excellent,61,30
14,16604747,Fyansford Hotel,Fyansford,"67 Hyland St, Fyansford",Fyansford,-38.1422630000,144.3100570000,3221,"Bar Food, Modern Australian",2,20,4.9,Excellent,62,33
15,16611253,Bernie's Diner,Moss Vale,"402-404 Argyle St, Moss Vale",Moss Vale,-34.5500913000,150.3712602000,2577,"Burger, Diner",1,7,4.9,Excellent,58,33
16,16611334,His Boy Elroy,Wollongong,"176-192 Keira St, NSW 2500",Wollongong,-34.4238380000,150.8932600000,2500,Australian,2,20,4.9,Excellent,91,36
17,18615392,WAKI Japanese BBQ Dining,Thamrin,"Lantai 1, Jl. Tanjung Karang No. 5, Thamrin, Jakarta",Jakarta,-6.2011150000,106.8223000000,,"Japanese, BBQ",3,300000,4.9,Excellent,2935,1416
18,16606058,Mount Macedon Hotel,Mount Macedon,"694 Mt Macedon Rd, Mt Macedon, Mount Macedon, Mount Macedon",Mount Macedon,-37.3897352000,144.5959105000,3441,Modern Australian,3,30,4.9,Excellent,95,56
19,17559675,Superfly Martini Bar & Grill,Brookings,"623 Memory Lane, Brookings 97415",Brookings,42.0492509000,-124.2810096000,97415,"American, Breakfast, Burger",2,25,4.9,Excellent,61,36
20,16611093,Spice Den,Casuarina,"9 Dianella Dr, Casuarina",Casuarina,-28.2950570000,153.5724900000,02487,Thai,2,20,4.9,Excellent,86,51
21,16605272,Kambei Japanese Restaurant,Ballarat,"501 Main Road, Ballarat, Ballarat",Ballarat,-37.5753060000,143.8689580000,3350,Japanese,3,30,4.9,Excellent,224,88
22,17350306,Bar-B-Q Bill's,Chiefland,1901 North Young Boulevard 32626,Chiefland,29.4973800000,-82.8682100000,32626,BBQ,1,10,4.9,Excellent,42,25
23,16612028,The Belle General,East Ballina,"12 Shelly Beach Rd, East Ballina",East Ballina,-28.8626630000,153.5933310000,2478,Cafe Food,2,20,4.9,Excellent,44,27
24,16604386,Ripples on the Bay,Rippleside,"42 Bell Parade, Rippleside, Rippleside",Rippleside,-38.1277618000,144.3567780000,3220,"Modern Australian, Cafe Food",3,30,4.9,Excellent,95,54
25,16613131,St Bernards Hotel,Mount Tamborine,"101 Alpine Terrace, Mount Tamborine",Mount Tamborine,-27.9687858000,153.1960687000,4272,Modern Australian,3,30,4.9,Excellent,43,27
26,16604403,The Corner Hotel,Alexandra,"65 Grant Street, Alexandra",Alexandra,-37.1924360000,145.7098390000,03714,Pub Food,2,20,4.9,Excellent,56,34
27,18487792,Thunder Road Barracuda,"Barracuda Beach Resort, Khor Al Baida","Khor Al Baida, Umm al Quwain",Umm al Quwain,25.5876180000,55.6520860000,,Italian,4,250,4.9,Excellent,100,62
28,16610069,Grill'd - The Junction,The Junction,"Eastpoint Centre, 50 Glebe Road, The Junction",The Junction,-32.9386180000,151.7609860000,2291,Burger,2,20,4.9,Excellent,70,14
29,16606731,Porter Republic,San Remo,"117 Marine Parade, San Remo",San Remo,-38.5206972000,145.3701046000,3925,Modern Australian,2,20,4.9,Excellent,200,119
30,16605444,King River Cafe,Oxley,"1143 Snow Rd, Oxley",Oxley,-36.4431930000,146.3820330000,3678,Modern Australian,3,30,4.9,Excellent,47,23
31,16944931,Menas Tex-Mex Grill  Cantina,Carrollton,"2810 East Trinity Mills Road, Carrollton 75006",Carrollton,32.9870500000,-96.8531700000,75006,Tex-Mex,2,40,4.9,Excellent,115,33
32,16604773,Parker Pies,Rutherglen,"88 Main St Rutherglen, Rutherglen",Rutherglen,-36.0547680000,146.4608760000,3685,Others,1,7,4.9,Excellent,78,32
33,16606579,Le Peche Gourmand,Creswick,"69a Albert St, Creswick",Creswick,-37.4238470000,143.8943650000,3363,"Coffee and Tea, French",1,7,4.9,Excellent,59,25
34,16605077,The Loaf and Lounge,Camperdown,"223 Manifold St, Camperdown",Camperdown,-38.2316513000,143.1448800000,3260,Coffee and Tea,1,7,4.9,Excellent,41,19
35,16585905,Tipo 00,CBD,"361 Little Bourke Street, CBD, Melbourne",Melbourne,-37.8135277429,144.9619733915,3000,Italian,4,150,4.9,Excellent,1927,717
36,17656764,Koffee Kup,Hico,"300 2nd St, Hico 76457",Hico,31.9827397000,-98.0281305000,76457,"Breakfast, Burger, Desserts",1,10,4.9,Excellent,46,23
37,16608736,Goodfellas Cafe,Burnside,"147/152 Bussell Hwy, Margaret River",Burnside,-33.9531670000,115.0736940000,6285,"Italian, Pizza",3,30,4.9,Excellent,88,48
38,16605207,The Harrietville Snowline Hotel,Harrietville,"237 Great Alpine Rd, Harrietville, Harrietville",Harrietville,-36.8937420000,147.0633850000,3741,"Bar Food, Steak",4,60,4.9,Excellent,55,29
39,18386758,Hotel Tokas,Neemrana,"NH-8, Delhi - Jaipur Highway, Japanese Zone, Neemrana, Alwar",Neemrana,27.9781597491,76.4006208055,,North Indian,2,800,4.9,Excellent,376,40
40,17492414,White Grill,Nevada,"200 N Commercial St, Nevada 64772",Nevada,37.8391000000,-94.3491000000,64772,"Burger, Coffee and Tea, Diner",1,10,4.9,Excellent,46,17
41,16604999,The Forge Pizzeria,Alfredton,"1771 Sturt St, Alfredton",Alfredton,-37.5507020000,143.8056190000,3350,"Italian, Pizza",2,20,4.9,Excellent,190,71
42,16605902,Pik Nik,Swan Bay,"1195 Queenscliff Rd, Swan Bay",Swan Bay,-38.2267968481,144.6351877972,3225,"Coffee and Tea, Desserts, Modern Australian",2,20,4.9,Excellent,108,45
43,16605212,Tahbilk Cafe,Nagambie,"254 Oneils Rd, Nagambie",Nagambie,-36.8267840000,145.0937810000,3608,"Coffee and Tea, Modern Australian",2,20,4.9,Excellent,50,29
44,16604764,The Black Spur Inn,Narbethong,"436 Maroondah Highway, Narbethong",Narbethong,-37.5572240000,145.6581270000,3778,Modern Australian,3,30,4.9,Excellent,66,40
45,16605023,Coffee Cartel,Breakwater,"35 Leather St, Breakwater",Breakwater,-38.1856090000,144.3736480000,3219,"Breakfast, Burger, Coffee and Tea",1,7,4.9,Excellent,120,58
46,16606526,Elevation 423 Bar & Cafe,Marysville,"41 Murchison St, Marysville",Marysville,-37.5108450000,145.7450260000,3779,"Coffee and Tea, Bar Food, Australian",4,75,4.9,Excellent,80,51
47,16604414,Chocolate Mill,Mount Franklin,"5451 Midland Hwy, Mount Franklin",Mount Franklin,-37.2814870000,144.1521300000,3461,Desserts,1,7,4.9,Excellent,111,51
48,16606275,The Kangaroo Hotel,Maldon,"89 High St, Maldon",Maldon,-36.9973320000,144.0680870000,3463,Australian,2,20,4.9,Excellent,52,32
49,17669374,Cafe Diablo,Torrey,599 West. Main Street. 84775,Torrey,38.2960760000,-111.4382970000,84775,Southwestern,3,40,4.9,Excellent,55,28
50,17554599,Click's Steak House,Pawnee,"409 Harrison St, Pawnee 74058",Pawnee,36.3382000000,-96.8012000000,74058,"American, Burger, Steak",2,25,4.9,Excellent,43,16
51,18482498,Tomahawks,Bright,15 Camp St Bright,Bright,0.0000000000,0.0000000000,,Bar Food,4,40,4.9,Excellent,122,67
52,16607119,Baringo Food & Wine Co.,New Gisborne,"Shop 1 283 Station Rd, New Gisborne",New Gisborne,-37.4593428000,144.5980671000,3438,"Coffee and Tea, Australian",2,20,4.9,Excellent,64,37
53,16608129,Port Elliot Bakery,Port Elliot,"31 North Terrace, Port Elliot",Port Elliot,-35.5306780000,138.6825710000,5212,Others,1,7,4.9,Excellent,96,34
54,17276345,MK's Asian Kitchen,Opelika,"2490 Enterprise Dr, Opelika 36801",Opelika,32.6205650000,-85.4092750000,36801,"Asian, Chinese",1,10,4.9,Excellent,95,38
55,17656346,Del Norte,Godley,"101 E Hwy 171, Godley 76044",Godley,32.4485140000,-97.5341830000,76044,"Mexican, Southwestern, Tex-Mex",1,10,4.9,Excellent,50,16
56,17496199,Velvet Cream,Hernando,"2290 Hwy 51 S, Hernando 38632",Hernando,34.8241000000,-89.9941000000,38632,"Burger, Desserts, Fast Food",1,10,4.9,Excellent,98,31
57,16643277,Saigon Moon,Black Diamond,"130 Government Road, Black Diamond T0L0H0",Black Diamond,50.6872963000,-114.2325731000,T0L0H0,"Vietnamese, Beverages",2,25,4.9,Excellent,43,18
58,12200008,Atticus Finch,Rotorua Central,"1106 Tutanekai Street, Rotorua Central, Rotorua 3010",Rotorua,-38.1331260000,176.2517670000,3010,"Mediterranean, European",3,65,4.9,Excellent,66,45
59,17175998,Guanajuato Mexican,Bay View,"2317 South Howell Ave, Milwaukee 53207",Milwaukee,43.0025218000,-87.9047931000,53207,Mexican,1,10,4.9,Excellent,197,42
60,17417691,3rd & Main,Aurora,"223 Third St, Aurora 47001",Aurora,39.0548510000,-84.8994390000,47001,"American, BBQ, Burger",3,40,4.9,Excellent,97,70
61,17553244,Wong's Restaurant,Clinton,"712 Opal Ave, Clinton 73601",Clinton,35.5065000000,-98.9687000000,73601,"American, Chinese",1,10,4.9,Excellent,65,22
62,16609287,Gorges Cafe,Kalbarri,"Shop 6, Marina Complex, Grey Street, Kalbarri",Kalbarri,-27.7021074000,114.1679929000,6536,"Breakfast, Modern Australian",2,20,4.9,Excellent,47,29
63,16607294,The Winery Kitchen,Seymour,"1 Emily St, Seymour, Seymour",Seymour,-37.0224530000,145.1147290000,3660,"Australian, Desserts, Italian",2,20,4.9,Excellent,62,29
64,16608061,Aquacafe,Goolwa South,"94 Barrage Rd, Goolwa South",Goolwa South,-35.5109680000,138.7828729000,5214,"Coffee and Tea, Seafood",2,20,4.9,Excellent,52,21
65,5703500,Punjab Grill,"Venetian Village, Al Maqtaa","Venetian Village, Ritz Carlton Abu Dhabi, Grand Canal, Al Maqtaa, Abu Dhabi",Abu Dhabi,24.4116552515,54.4851849228,,"Indian, North Indian",4,350,4.9,Excellent,582,384
66,16606711,The Driftwood Cafe,Ocean Grove,"64 The Terrace, Ocean Grove, Ocean Grove",Ocean Grove,-38.2678719000,144.5222505000,3226,Cafe Food,2,20,4.9,Excellent,156,98
67,16609855,Margan Restaurant,Broke,"1238 Milbrodale Rd, Broke",Broke,-32.7541230000,151.0956620000,2330,Modern Australian,3,30,4.9,Excellent,51,29
68,16604423,Source Dining,Kyneton,"72 Piper St, Kyneton, Kyneton",Kyneton,-37.2439460000,144.4485630000,,"Modern Australian, Australian",4,100,4.9,Excellent,193,83
69,16605677,Jack Rabbit Restaurant,Bellarine,"85 McAdams Lane, Bellarine",Bellarine,-38.1369474000,144.5940460000,3221,Modern Australian,3,30,4.9,Excellent,161,104
70,17554878,Wild Horse Mountain Bar-B-Que,Sallisaw,"S 4612 Rd, Sallisaw 74955",Sallisaw,35.4058420000,-94.8042870000,74955,BBQ,1,10,4.9,Excellent,77,28
